757's, x : 69.0422134
758's, x : 69.2171936
759's, x : 68.6605988
760's, x : 68.7200241
761's, x : 69.2691879
762's, x : 69.2774658
763's, x : 68.7524261
764's, x : 68.8552933
765's, x : 68.8091125
766's, x : 68.5958862
767's, x : 68.6194153
768's, x : 68.7442169
769's, x : 68.8907394
770's, x : 68.8552933
771's, x : 68.6194153
772's, x : 68.1378479
773's, x : 68.7160416
774's, x : 68.7877121
775's, x : 68.2111130
776's, x : 68.7160416
777's, x : 68.1378479
778's, x : 68.2361221
779's, x : 68.7524261
780's, x : 68.1987610
781's, x : 68.7200241
782's, x : 68.7524261
783's, x : 68.2361221
784's, x : 67.9330978
785's, x : 68.5809250
786's, x : 68.6605988
787's, x : 68.0792389
788's, x : 67.9615402
789's, x : 68.6480331
790's, x : 68.5809250
791's, x : 67.9330978
792's, x : 68.7533188
793's, x : 68.7067184
794's, x : 68.5650330
795's, x : 68.5620880
796's, x : 68.5860214
797's, x : 68.5489960
798's, x : 68.4900513
799's, x : 68.5262756
800's, x : 68.9019623
801's, x : 68.6912384
802's, x : 68.5897217
803's, x : 68.8706818
804's, x : 68.8706818
805's, x : 69.1993790
806's, x : 69.1544647
807's, x : 68.9019623
808's, x : 69.2199936
809's, x : 69.2316589
810's, x : 69.3451614
811's, x : 69.3237457
812's, x : 68.9601288
813's, x : 69.0263519
814's, x : 68.6653595
815's, x : 68.6877823
816's, x : 68.5019226
817's, x : 68.5147858
818's, x : 68.3537903
819's, x : 68.4436188
820's, x : 69.1544647
821's, x : 69.1993790
822's, x : 69.3451614
823's, x : 69.2316589
824's, x : 68.5897217
825's, x : 68.6912384
826's, x : 68.5860214
827's, x : 68.5262756
828's, x : 68.3537903
829's, x : 68.5147858
830's, x : 68.6877823
831's, x : 68.6653595
832's, x : 69.2920227
833's, x : 69.0263519
834's, x : 68.9601288
835's, x : 69.1980820
836's, x : 69.2316589
837's, x : 69.2199936
838's, x : 69.0930328
839's, x : 69.1144867
840's, x : 68.9019623
841's, x : 69.1544647
842's, x : 69.0785675
